,text,aspect,label
0,OPPOK9手机给家里老人买的，外观本来以为黑的，结果是很漂亮的深蓝，机身背面像机动战士的文字，运行速度相当快，各种软件权限的限制做的也很好，不会像以前各种弹窗满天飞，屏下指纹吓到我了，oled屏幕不会有以前那种劣质感，充电奇快，系统底层改的很不错，多手势操作流畅，耳机试了下偏苹果原配的调音，摄像头上来就给了个美颜，男士不习惯，关掉后也感觉有轻微美颜，外放声音会比苹果大，整体是一次很满意的购物体验。,OPPOK9,True
1,OPPOK9手机给家里老人买的，外观本来以为黑的，结果是很漂亮的深蓝，机身背面像机动战士的文字，运行速度相当快，各种软件权限的限制做的也很好，不会像以前各种弹窗满天飞，屏下指纹吓到我了，oled屏幕不会有以前那种劣质感，充电奇快，系统底层改的很不错，多手势操作流畅，耳机试了下偏苹果原配的调音，摄像头上来就给了个美颜，男士不习惯，关掉后也感觉有轻微美颜，外放声音会比苹果大，整体是一次很满意的购物体验。,外观,True
2,OPPOK9手机给家里老人买的，外观本来以为黑的，结果是很漂亮的深蓝，机身背面像机动战士的文字，运行速度相当快，各种软件权限的限制做的也很好，不会像以前各种弹窗满天飞，屏下指纹吓到我了，oled屏幕不会有以前那种劣质感，充电奇快，系统底层改的很不错，多手势操作流畅，耳机试了下偏苹果原配的调音，摄像头上来就给了个美颜，男士不习惯，关掉后也感觉有轻微美颜，外放声音会比苹果大，整体是一次很满意的购物体验。,机身,True
3,OPPOK9手机给家里老人买的，外观本来以为黑的，结果是很漂亮的深蓝，机身背面像机动战士的文字，运行速度相当快，各种软件权限的限制做的也很好，不会像以前各种弹窗满天飞，屏下指纹吓到我了，oled屏幕不会有以前那种劣质感，充电奇快，系统底层改的很不错，多手势操作流畅，耳机试了下偏苹果原配的调音，摄像头上来就给了个美颜，男士不习惯，关掉后也感觉有轻微美颜，外放声音会比苹果大，整体是一次很满意的购物体验。,背面,True
4,OPPOK9手机给家里老人买的，外观本来以为黑的，结果是很漂亮的深蓝，机身背面像机动战士的文字，运行速度相当快，各种软件权限的限制做的也很好，不会像以前各种弹窗满天飞，屏下指纹吓到我了，oled屏幕不会有以前那种劣质感，充电奇快，系统底层改的很不错，多手势操作流畅，耳机试了下偏苹果原配的调音，摄像头上来就给了个美颜，男士不习惯，关掉后也感觉有轻微美颜，外放声音会比苹果大，整体是一次很满意的购物体验。,运行速度,True
5,OPPOK9手机给家里老人买的，外观本来以为黑的，结果是很漂亮的深蓝，机身背面像机动战士的文字，运行速度相当快，各种软件权限的限制做的也很好，不会像以前各种弹窗满天飞，屏下指纹吓到我了，oled屏幕不会有以前那种劣质感，充电奇快，系统底层改的很不错，多手势操作流畅，耳机试了下偏苹果原配的调音，摄像头上来就给了个美颜，男士不习惯，关掉后也感觉有轻微美颜，外放声音会比苹果大，整体是一次很满意的购物体验。,系统,True
6,OPPOK9手机给家里老人买的，外观本来以为黑的，结果是很漂亮的深蓝，机身背面像机动战士的文字，运行速度相当快，各种软件权限的限制做的也很好，不会像以前各种弹窗满天飞，屏下指纹吓到我了，oled屏幕不会有以前那种劣质感，充电奇快，系统底层改的很不错，多手势操作流畅，耳机试了下偏苹果原配的调音，摄像头上来就给了个美颜，男士不习惯，关掉后也感觉有轻微美颜，外放声音会比苹果大，整体是一次很满意的购物体验。,屏下指纹,True
7,OPPOK9手机给家里老人买的，外观本来以为黑的，结果是很漂亮的深蓝，机身背面像机动战士的文字，运行速度相当快，各种软件权限的限制做的也很好，不会像以前各种弹窗满天飞，屏下指纹吓到我了，oled屏幕不会有以前那种劣质感，充电奇快，系统底层改的很不错，多手势操作流畅，耳机试了下偏苹果原配的调音，摄像头上来就给了个美颜，男士不习惯，关掉后也感觉有轻微美颜，外放声音会比苹果大，整体是一次很满意的购物体验。,多手势,True
8,OPPOK9手机给家里老人买的，外观本来以为黑的，结果是很漂亮的深蓝，机身背面像机动战士的文字，运行速度相当快，各种软件权限的限制做的也很好，不会像以前各种弹窗满天飞，屏下指纹吓到我了，oled屏幕不会有以前那种劣质感，充电奇快，系统底层改的很不错，多手势操作流畅，耳机试了下偏苹果原配的调音，摄像头上来就给了个美颜，男士不习惯，关掉后也感觉有轻微美颜，外放声音会比苹果大，整体是一次很满意的购物体验。,屏幕,True
9,OPPOK9手机给家里老人买的，外观本来以为黑的，结果是很漂亮的深蓝，机身背面像机动战士的文字，运行速度相当快，各种软件权限的限制做的也很好，不会像以前各种弹窗满天飞，屏下指纹吓到我了，oled屏幕不会有以前那种劣质感，充电奇快，系统底层改的很不错，多手势操作流畅，耳机试了下偏苹果原配的调音，摄像头上来就给了个美颜，男士不习惯，关掉后也感觉有轻微美颜，外放声音会比苹果大，整体是一次很满意的购物体验。,充电,True
